dataset,family,graph,alpha,base_distance,sigma,gamma,eigen_index,eigenvalue_lsym,k_true,true_k_gap,predicted_k_largest_gap,graph_seconds,accuracy,ari,nmi,purity,error
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,2,0.8151615193645825,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,3,0.9162713231957461,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,4,0.9904807835030406,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,5,0.9965662755240177,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,6,1.0001637591355972,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,7,1.002192216939356,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,8,1.002301162965632,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,9,1.0023028684354793,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,10,1.002307829643615,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,11,1.0023090444530007,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,12,1.002309634900177,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,1,-2.220446049250313e-16,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,2,0.907548707082513,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,3,0.9604658651655108,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,4,0.9992350961986046,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,5,1.0008744406005363,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,6,1.0017034776710951,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,7,1.0021462852791023,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,8,1.0021468605075932,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,9,1.0021491851191184,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,10,1.0021498356382588,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,11,1.002150114236433,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,2.0,2.5571704210202393,5.114340842040479,0.019115720349874774,12,1.0021507362874051,3,0.03876923103309382,1.0,0.005700458000006847,0.906,0.7637524739911382,0.7699526701602988,0.906,
variable_density,synthetic,dense_rbf,3.0,2.5571704210202393,7.671511263060718,0.008495875711055456,1,-6.661338147750939e-16,3,0.01785721923929684,1.0,0.005654415999998719,0.906,0.7637524739911382,0.7699526701602989,0.906,
variable_density,synthetic,dense_rbf,3.0,2.5571704210202393,7.671511263060718,0.008495875711055456,2,0.9594257376539563,3,0.01785721923929684,1.0,0.005654415999998719,0.906,0.7637524739911382,0.7699526701602989,0.906,
variable_density,synthetic,dense_rbf,3.0,2.5571704210202393,7.671511263060718,0.008495875711055456,3,0.9836689763217951,3,0.01785721923929684,1.0,0.005654415999998719,0.906,0.7637524739911382,0.7699526701602989,0.906,
variable_density,synthetic,dense_rbf,3.0,2.5571704210202393,7.671511263060718,0.008495875711055456,4,1.001526195561092,3,0.01785721923929684,1.0,0.005654415999998719,0.906,0.7637524739911382,0.7699526701602989,0.906,
variable_density,synthetic,dense_rbf,3.0,2.5571704210202393,7.671511263060718,0.008495875711055456,5,1.0018662207845912,3,0.01785721923929684,1.0,0.005654415999998719,0.906,0.7637524739911382,0.7699526701602989,0.906,
