dataset,family,graph,n_neighbors,repeat,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_all,digits,knn_rbf,8.0,4,0.7,2.9717447393572907,0.05661701900255785,0.015595124999997267,250288,20258,0.7518085698386199,0.662182639515963,0.8164585170907664,0.7673900946021146,0.0683985000000007,0.05791608299999851,0.14190970799999647,58.384718714691935,
digits_all,digits,knn_rbf,10.0,0,0.7,3.0546172388081265,0.05358662530417663,0.013134959000002056,310024,25236,0.7473567056204786,0.6534509368100642,0.8091600651455924,0.7629382303839732,0.06664187500000196,0.07704400000000078,0.1568208340000048,62.423543317757435,
digits_all,digits,knn_rbf,10.0,1,0.7,3.0546172388081265,0.05358662530417663,0.020950291999998427,310024,25236,0.7473567056204786,0.6534509368100642,0.8091600651455922,0.7629382303839732,0.06153633399999947,0.10396845800000065,0.18645508399999855,62.42354331775743,
digits_all,digits,knn_rbf,10.0,2,0.7,3.0546172388081265,0.05358662530417663,0.16393862500000012,310024,25236,0.7473567056204786,0.6534509368100642,0.8091600651455922,0.7629382303839732,0.07870916699999952,0.15834587499999841,0.40099366699999806,62.42354331775743,
digits_all,digits,knn_rbf,10.0,3,0.7,3.0546172388081265,0.05358662530417663,0.020600041999998098,310024,25236,0.7473567056204786,0.6534509368100642,0.8091600651455925,0.7629382303839732,0.07784949999999924,0.10821500000000128,0.20666454199999862,62.42354331775743,
digits_all,digits,knn_rbf,10.0,4,0.7,3.0546172388081265,0.05358662530417663,0.021475207999998247,310024,25236,0.7529215358931552,0.6591437888420879,0.8149214102381013,0.7679465776293823,0.07366033299999941,0.09195162500000009,0.18708716599999775,64.01908221832812,
digits_all,digits,knn_rbf,12.0,0,0.7,3.132086272031194,0.05096858447444782,0.01810945800000141,369088,30158,0.7122982749026154,0.624400776402378,0.787347356395049,0.7367835281023929,0.0732482499999989,0.1162509579999984,0.20760866599999872,61.05633426077132,
digits_all,digits,knn_rbf,12.0,1,0.7,3.132086272031194,0.05096858447444782,0.015107541000002556,369088,30158,0.7122982749026154,0.624400776402378,0.7873473563950492,0.7367835281023929,0.06217208400000018,0.0990098340000003,0.17628945900000303,61.05633426077132,
digits_all,digits,knn_rbf,12.0,2,0.7,3.132086272031194,0.05096858447444782,0.021725916999997708,369088,30158,0.7117417918753478,0.6235758993755375,0.7862103108877059,0.7362270450751253,0.06203862499999957,0.11138616599999906,0.19515070799999634,61.05805450618659,
digits_all,digits,knn_rbf,12.0,3,0.7,3.132086272031194,0.05096858447444782,0.01956454200000124,369088,30158,0.7122982749026154,0.624400776402378,0.787347356395049,0.7367835281023929,0.06324099999999788,0.12527825000000092,0.20808379200000005,61.05633426077134,
digits_all,digits,knn_rbf,12.0,4,0.7,3.132086272031194,0.05096858447444782,0.020212540999999362,369088,30158,0.7122982749026154,0.624400776402378,0.787347356395049,0.7367835281023929,0.06282345800000044,0.11758254200000096,0.20061854100000076,61.05633426077132,
digits_all,digits,knn_rbf,16.0,0,0.7,3.2492793096696224,0.04735827925707674,0.021834250000001276,487528,40028,0.8324986087924319,0.755988760937936,0.8253464386311253,0.8341680578742349,0.0617835410000005,0.11016341699999899,0.19378120800000076,83.25597355404423,
digits_all,digits,knn_rbf,16.0,1,0.7,3.2492793096696224,0.04735827925707674,0.022156624999997376,487528,40028,0.8324986087924319,0.755988760937936,0.8253464386311252,0.8341680578742349,0.05989433299999902,0.1122883750000021,0.1943393329999985,83.25597355404423,
digits_all,digits,knn_rbf,16.0,2,0.7,3.2492793096696224,0.04735827925707674,0.021637874999999696,487528,40028,0.8324986087924319,0.755988760937936,0.8253464386311252,0.8341680578742349,0.06266575000000074,0.10584420799999705,0.1901478329999975,83.25597355404423,
digits_all,digits,knn_rbf,16.0,3,0.7,3.2492793096696224,0.04735827925707674,0.019266707999999966,487528,40028,0.8324986087924319,0.755988760937936,0.8253464386311252,0.8341680578742349,0.05228479100000172,0.1212999580000016,0.19285145700000328,83.25597355404423,
digits_all,digits,knn_rbf,16.0,4,0.7,3.2492793096696224,0.04735827925707674,0.02416975000000221,487528,40028,0.8324986087924319,0.755988760937936,0.8253464386311253,0.8341680578742349,0.049722750000000815,0.12032341699999805,0.19421591700000107,83.25597355404423,
digits_all,digits,knn_rbf,24.0,0,0.7,3.4485969237737812,0.042042170719549944,0.02819308300000145,722464,59606,0.7824151363383417,0.7176687540412208,0.8008027160728447,0.8046744574290484,0.05210887499999828,0.11630991699999882,0.19661187499999855,90.30771658633242,
digits_all,digits,knn_rbf,24.0,1,0.7,3.4485969237737812,0.042042170719549944,0.026538708000000355,722464,59606,0.7813021702838063,0.7173435721124924,0.8009155429156382,0.803561491374513,0.05074033400000033,0.061168708000000294,0.13844775000000098,90.30042701895181,
digits_all,digits,knn_rbf,24.0,2,0.7,3.4485969237737812,0.042042170719549944,0.03086662500000159,722464,59606,0.7807456872565387,0.7171300444942708,0.7996265448206522,0.8030050083472454,0.04454791699999916,0.11636937500000144,0.1917839170000022,90.30961072001566,
