dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_0136,digits,dense_rbf,5.0,9.91906574589092,49.5953287294546,0.00020327710073645344,,0.04423233399999926,4193408,523452,0.925414364640884,0.8181924899947548,0.8042900710000085,0.925414364640884,0.059378582999999985,0.033040291999999916,0.13665120899999916,118.8841271321313,
digits_0136,digits,knn_rbf,0.1,4.174915680111579,0.41749156801115794,2.868630338799195,10.0,0.006911624999999866,125420,10210,0.3798342541436464,0.06725118529447971,0.08111672516317234,0.4088397790055249,0.14430879199999946,0.0732702500000002,0.22449066699999953,235.348728086008,
digits_0136,digits,knn_rbf,0.2,4.174915680111579,0.8349831360223159,0.7171575846997987,10.0,0.03347033300000035,126332,10286,0.5276243093922652,0.32572983133328465,0.5355926744367672,0.5290055248618785,0.21821066699999925,0.045447917000000615,0.2971289170000002,7.5485754596748835,
digits_0136,digits,knn_rbf,0.35,4.174915680111579,1.4612204880390525,0.23417390520809767,10.0,0.010798167000000802,126572,10306,0.7817679558011049,0.6978572222964035,0.8169110806154155,0.7817679558011049,0.2600686250000006,0.023327166999999704,0.2941939590000011,15.880733285618353,
digits_0136,digits,knn_rbf,0.5,4.174915680111579,2.0874578400557895,0.11474521355196782,10.0,0.007998792000000421,126572,10306,0.7790055248618785,0.6941016859520736,0.8060334174587982,0.7790055248618785,0.09213941700000028,0.022354749999999868,0.12249295900000057,11.077895436374428,
digits_0136,digits,knn_rbf,0.7,4.174915680111579,2.922440976078105,0.058543476302024416,10.0,0.009812042000000076,126572,10306,0.9516574585635359,0.8797775398888183,0.8768760965887104,0.9516574585635359,0.2531459579999993,0.041426541999999955,0.3043845419999993,10.411293691487543,
digits_0136,digits,knn_rbf,0.7071067811865475,4.174915680111579,2.9521111882889444,0.057372606775983916,10.0,0.009312375000000372,126572,10306,0.9502762430939227,0.8760098759326936,0.878920581917172,0.9502762430939227,0.11967895899999981,0.09116858400000005,0.22015991800000023,10.793822462291937,
digits_0136,digits,knn_rbf,1.0,4.174915680111579,4.174915680111579,0.028686303387991954,10.0,0.014229374999999322,126572,10306,0.9558011049723757,0.8915884492496916,0.8984315923922905,0.9558011049723757,0.12170095799999991,0.04546458299999934,0.18139491599999857,9.07654357291117,
digits_0136,digits,knn_rbf,1.4,4.174915680111579,5.84488195215621,0.014635869075506104,10.0,0.020846124999998494,126572,10306,0.9571823204419889,0.8946385284061508,0.9003010397967328,0.9571823204419889,0.11570045900000103,0.04312874999999927,0.1796753339999988,7.168182884558564,
digits_0136,digits,knn_rbf,2.0,4.174915680111579,8.349831360223158,0.007171575846997989,10.0,0.03675095899999903,126572,10306,0.9571823204419889,0.8946385284061508,0.9003010397967328,0.9571823204419889,0.0639896249999996,0.022268291000001383,0.12300887500000002,6.97528374570207,
